,nconst,tconst,crew.type,primaryName,primaryProfession,gender
499,nm0000122,27977,writer,Charles Chaplin,"writer,soundtrack,actor",Male
500,nm0000122,44837,writer,Charles Chaplin,"writer,soundtrack,actor",Male
501,nm0000123,1124035,director,George Clooney,"actor,producer,director",Male
502,nm0000123,2177771,director,George Clooney,"actor,producer,director",Male
503,nm0000123,433383,writer,George Clooney,"actor,producer,director",Male
504,nm0000123,270288,director,George Clooney,"actor,producer,director",Male
505,nm0000123,1454468,writer,George Clooney,"actor,producer,director",Male
506,nm0000123,1124035,writer,George Clooney,"actor,producer,director",Male
507,nm0000123,2177771,writer,George Clooney,"actor,producer,director",Male
508,nm0000123,433383,director,George Clooney,"actor,producer,director",Male
509,nm0000126,99348,director,Kevin Costner,"actor,producer,soundtrack",Male
